gene_symbol,mean_control,mean_influenza,log2_fold_change,p_value,fdr,status,probe_clean,mapped_gene_symbol,gene_description
"""ILMN_1704904""",6.873252686299163,6.66076561024975,-0.2124870760494133,0.0079319237790315,0.2837086660223365,Not Significant,ILMN_1704904,ILMN_1704904,Sonda Illumina
"""ILMN_1704908""",6.798275439952045,6.8793304404723585,0.0810550005203136,0.3342088613042203,0.8309231184816838,Not Significant,ILMN_1704908,ILMN_1704908,Sonda Illumina
"""ILMN_1704916""",6.7183634186383285,6.71334989368565,-0.0050135249526785,0.9429465433290188,0.9928392269513048,Not Significant,ILMN_1704916,ILMN_1704916,Sonda Illumina
"""ILMN_1704925""",6.716845857725002,6.7938347225981826,0.0769888648731802,0.3052235948054227,0.8162928523673229,Not Significant,ILMN_1704925,ILMN_1704925,Sonda Illumina
"""ILMN_1704941""",6.60775582879719,6.483036543454465,-0.1247192853427252,0.1108631227575473,0.6544018369833361,Not Significant,ILMN_1704941,ILMN_1704941,Sonda Illumina
"""ILMN_1704943""",6.7806194638306465,7.014446549331678,0.2338270855010318,0.0800187321488801,0.598805970999248,Not Significant,ILMN_1704943,ILMN_1704943,Sonda Illumina
"""ILMN_1704950""",6.873164841870995,6.828659274824728,-0.0445055670462668,0.4644257043106405,0.8857855996985669,Not Significant,ILMN_1704950,ILMN_1704950,Sonda Illumina
"""ILMN_1704956""",6.839422602986502,6.858243333557421,0.0188207305709182,0.7718382879736679,0.9635673225181514,Not Significant,ILMN_1704956,ILMN_1704956,Sonda Illumina
"""ILMN_1704961""",10.119457654612816,9.480441586502703,-0.6390160681101129,0.0966610442774339,0.6317280233692021,Not Significant,ILMN_1704961,ILMN_1704961,Sonda Illumina
"""ILMN_1704972""",8.989166252820821,9.382203435543804,0.393037182722983,0.0771122031752001,0.5920983010754732,Not Significant,ILMN_1704972,ILMN_1704972,Sonda Illumina
"""ILMN_1704973""",6.557363063739713,6.650741551126211,0.0933784873864986,0.1733275959062596,0.7230922300872884,Not Significant,ILMN_1704973,ILMN_1704973,Sonda Illumina
"""ILMN_1704976""",6.775032192877139,6.78209810934992,0.007065916472781,0.9052804862159766,0.988207102381228,Not Significant,ILMN_1704976,ILMN_1704976,Sonda Illumina
"""ILMN_1704980""",6.826568228313214,6.783302006947146,-0.0432662213660677,0.6205610484617409,0.929118017905938,Not Significant,ILMN_1704980,ILMN_1704980,Sonda Illumina
"""ILMN_1704985""",6.799417205479633,6.791273922772925,-0.0081432827067082,0.9236693535133442,0.990266646308217,Not Significant,ILMN_1704985,ILMN_1704985,Sonda Illumina
"""ILMN_1704987""",6.693977292182419,6.6726756027571685,-0.0213016894252504,0.7797471589062355,0.9657362428044766,Not Significant,ILMN_1704987,ILMN_1704987,Sonda Illumina
"""ILMN_1705004""",6.89410354295467,6.8591510660327915,-0.0349524769218785,0.6598823715055299,0.9401500884860264,Not Significant,ILMN_1705004,ILMN_1705004,Sonda Illumina
"""ILMN_1705018""",6.547235034273609,6.607768311024664,0.0605332767510544,0.4591999321752125,0.8838005684413698,Not Significant,ILMN_1705018,ILMN_1705018,Sonda Illumina
"""ILMN_1705019""",6.447287094966539,6.463576929588827,0.0162898346222881,0.8341095597629442,0.9763982307369768,Not Significant,ILMN_1705019,ILMN_1705019,Sonda Illumina
"""ILMN_1705025""",6.784757833030218,6.8434269475120235,0.0586691144818054,0.6809652469142191,0.9455494791163938,Not Significant,ILMN_1705025,ILMN_1705025,Sonda Illumina
"""ILMN_1705032""",6.972650462276869,6.900043896287913,-0.0726065659889556,0.4587359436221618,0.8835820411976686,Not Significant,ILMN_1705032,ILMN_1705032,Sonda Illumina
"""ILMN_1705034""",6.975667501602264,6.981377295047342,0.005709793445078,0.96158679755779,0.9956636187239242,Not Significant,ILMN_1705034,ILMN_1705034,Sonda Illumina
"""ILMN_1705035""",6.571533527095715,6.555252589918697,-0.0162809371770178,0.779520686903375,0.9655960008626407,Not Significant,ILMN_1705035,ILMN_1705035,Sonda Illumina
"""ILMN_1705047""",6.429383454846071,6.44949305472584,0.0201095998797695,0.720080679014272,0.9544136391895606,Not Significant,ILMN_1705047,ILMN_1705047,Sonda Illumina
"""ILMN_1705049""",6.978466455223797,6.898113846870818,-0.080352608352979,0.1173053175033028,0.6635074852081407,Not Significant,ILMN_1705049,ILMN_1705049,Sonda Illumina
"""ILMN_1705063""",6.675526417498972,6.731236693178699,0.0557102756797274,0.5548508651244872,0.9121814737579595,Not Significant,ILMN_1705063,ILMN_1705063,Sonda Illumina
"""ILMN_1705064""",9.700104531510162,10.043305247909103,0.3432007163989414,0.1388370420944394,0.6882367136969376,Not Significant,ILMN_1705064,ILMN_1705064,Sonda Illumina
"""ILMN_1705066""",6.674676142554432,6.748486346001312,0.0738102034468797,0.5804184124520677,0.9182375607748232,Not Significant,ILMN_1705066,ILMN_1705066,Sonda Illumina
"""ILMN_1705073""",6.742118190100982,6.700285446327287,-0.0418327437736945,0.6279679865292491,0.9307505587919502,Not Significant,ILMN_1705073,ILMN_1705073,Sonda Illumina
"""ILMN_1705077""",6.762319785370555,6.698452755950411,-0.0638670294201437,0.1962476703404983,0.7438234688171982,Not Significant,ILMN_1705077,ILMN_1705077,Sonda Illumina
"""ILMN_1705080""",6.3838194953923715,6.535861705638988,0.1520422102466163,0.108529601122511,0.6509444292931246,Not Significant,ILMN_1705080,ILMN_1705080,Sonda Illumina
"""ILMN_1705085""",6.9475474858462976,6.904285391958652,-0.0432620938876455,0.6624905004431381,0.940915664176843,Not Significant,ILMN_1705085,ILMN_1705085,Sonda Illumina
"""ILMN_1705093""",8.223988114052187,7.724020315640577,-0.4999677984116095,0.0545534271801248,0.5321630030077689,Not Significant,ILMN_1705093,ILMN_1705093,Sonda Illumina
